fecha,Embalse,C2RCC,C2X,C2XC,Medicion
2017-06-01,Acebo,0.0002875826903618872,0.000467691570520401,70.03703308105469,3.0
2017-06-01,Aguijon,,,,
2017-06-01,Alcuescar,,,,
2017-06-01,Aldea del Cano,,,,
2017-06-01,Aliseda,,,,
2017-06-01,Alpotrel,,,,
2017-06-01,Arrocerezal,,,,
2017-06-01,Brozas,,,,
2017-06-01,Burguillos del Cerro,,,,
2017-06-01,Cantalgallo,,,,
2017-06-01,Carrascalejo,,,,
2017-06-01,El Santo,,,,
2017-06-01,Garciaz,,,,
2017-06-01,Garganta del Obispo,,,,
2017-06-01,Guadalupe,,,,
2017-06-01,Hervas,,,,
2017-06-01,Jaime Ozores,20.784957885742188,50.08476257324219,83.45684051513672,18.0
2017-06-01,Llerena,,,,
2017-06-01,Los Angeles,,,,
2017-06-01,Los Huertos,,,,
2017-06-01,Madronnera,,,,
2017-06-01,Majadillas,,,,
2017-06-01,Majarrobledo,,,,
2017-06-01,Membrio,,,,
2017-06-01,Navarredonda,,,,
2017-06-01,Navas del Madronno,,,,
2017-06-01,Nogales,,,,
2017-06-01,Palomero,,,,
2017-06-01,Pretura del Molino,,,,
2017-06-01,Ribera del Castanno,,,,
2017-06-01,Rubiales,,,,
2017-06-01,San Marcos,,,,
2017-06-01,Santa Lucia,,,,
2017-06-01,Talavan,5.717299938201904,7.864384651184082,23.662273406982422,10.8
2017-06-01,Tres Torres,,,,
2017-06-01,la Pesga,,,,
2017-11-01,Acebo,,,,
2017-11-01,Aguijon,,,,
2017-11-01,Alcuescar,,,,
2017-11-01,Aldea del Cano,,,,
2017-11-01,Aliseda,,,,
2017-11-01,Alpotrel,,,,
2017-11-01,Arrocerezal,,,,
2017-11-01,Brozas,,,,
2017-11-01,Burguillos del Cerro,,,,
2017-11-01,Cantalgallo,,,,
2017-11-01,Carrascalejo,,,,
2017-11-01,El Santo,,,,
2017-11-01,Garciaz,,,,
2017-11-01,Garganta del Obispo,,,,
2017-11-01,Guadalupe,,,,
2017-11-01,Hervas,,,,
2017-11-01,Jaime Ozores,1.2610421180725098,234.41671752929688,734.1956787109375,74.0
2017-11-01,Llerena,,,,
2017-11-01,Los Angeles,,,,
2017-11-01,Los Huertos,,,,
2017-11-01,Madronnera,,,,
2017-11-01,Majadillas,,,,
2017-11-01,Majarrobledo,,,,
2017-11-01,Membrio,,,,
2017-11-01,Navarredonda,,,,
2017-11-01,Navas del Madronno,,,,
2017-11-01,Nogales,,,,
2017-11-01,Palomero,,,,
2017-11-01,Pretura del Molino,,,,
2017-11-01,Ribera del Castanno,,,,
2017-11-01,Rubiales,,,,
2017-11-01,San Marcos,,,,
2017-11-01,Santa Lucia,,,,
2017-11-01,Talavan,2.6268129348754883,9.400901794433594,35.25731658935547,9.0
2017-11-01,Tres Torres,,,,
2017-11-01,la Pesga,,,,
2018-06-01,Acebo,,,,
2018-06-01,Aguijon,,,,
2018-06-01,Alcuescar,,,,
2018-06-01,Aldea del Cano,,,,
2018-06-01,Aliseda,,,,
2018-06-01,Alpotrel,,,,
2018-06-01,Arrocerezal,,,,
2018-06-01,Brozas,,,,
2018-06-01,Burguillos del Cerro,,,,
2018-06-01,Cantalgallo,,,,
2018-06-01,Carrascalejo,,,,
2018-06-01,El Santo,,,,
2018-06-01,Garciaz,,,,
2018-06-01,Garganta del Obispo,,,,
2018-06-01,Guadalupe,,,,
2018-06-01,Hervas,,,,
2018-06-01,Jaime Ozores,12.705032348632812,30.15651512145996,69.19629669189453,14.0
2018-06-01,Llerena,,,,
2018-06-01,Los Angeles,,,,
2018-06-01,Los Huertos,,,,
2018-06-01,Madronnera,,,,
2018-06-01,Majadillas,,,,
2018-06-01,Majarrobledo,,,,
2018-06-01,Membrio,,,,
2018-06-01,Navarredonda,,,,
2018-06-01,Navas del Madronno,,,,
2018-06-01,Nogales,,,,
2018-06-01,Palomero,,,,
2018-06-01,Pretura del Molino,,,,
2018-06-01,Ribera del Castanno,,,,
2018-06-01,Rubiales,,,,
2018-06-01,San Marcos,,,,
2018-06-01,Santa Lucia,,,,
2018-06-01,Talavan,4.307905673980713,5.17432975769043,45.52199935913086,8.0
2018-06-01,Tres Torres,,,,
2018-06-01,la Pesga,,,,
2018-11-01,Acebo,,,,
2018-11-01,Aguijon,,,,
2018-11-01,Alcuescar,,,,
2018-11-01,Aldea del Cano,,,,
2018-11-01,Aliseda,,,,
2018-11-01,Alpotrel,,,,
2018-11-01,Arrocerezal,,,,
2018-11-01,Brozas,,,,
2018-11-01,Burguillos del Cerro,,,,
2018-11-01,Cantalgallo,,,,
2018-11-01,Carrascalejo,,,,
2018-11-01,El Santo,,,,
2018-11-01,Garciaz,,,,
2018-11-01,Garganta del Obispo,,,,
2018-11-01,Guadalupe,,,,
2018-11-01,Hervas,,,,
2018-11-01,Jaime Ozores,0.13661961257457733,168.80763244628906,831.1431274414062,39.0
2018-11-01,Llerena,,,,
2018-11-01,Los Angeles,,,,
2018-11-01,Los Huertos,,,,
2018-11-01,Madronnera,,,,
2018-11-01,Majadillas,,,,
2018-11-01,Majarrobledo,,,,
2018-11-01,Membrio,,,,
2018-11-01,Navarredonda,,,,
2018-11-01,Navas del Madronno,,,,
2018-11-01,Nogales,,,,
2018-11-01,Palomero,,,,
2018-11-01,Pretura del Molino,,,,
2018-11-01,Ribera del Castanno,,,,
2018-11-01,Rubiales,,,,
2018-11-01,San Marcos,,,,
2018-11-01,Santa Lucia,,,,
2018-11-01,Talavan,34.96571731567383,24.024837493896484,166.1439208984375,32.0
2018-11-01,Tres Torres,,,,
2018-11-01,la Pesga,,,,
2019-06-01,Acebo,,,,
2019-06-01,Aguijon,,,,
2019-06-01,Alcuescar,,,,
2019-06-01,Aldea del Cano,,,,
2019-06-01,Aliseda,,,,
2019-06-01,Alpotrel,,,,
2019-06-01,Arrocerezal,,,,
2019-06-01,Brozas,,,,
2019-06-01,Burguillos del Cerro,,,,
2019-06-01,Cantalgallo,,,,
2019-06-01,Carrascalejo,,,,
2019-06-01,El Santo,,,,
2019-06-01,Garciaz,,,,
2019-06-01,Garganta del Obispo,,,,
2019-06-01,Guadalupe,,,,
2019-06-01,Hervas,,,,
2019-06-01,Jaime Ozores,9.568655967712402,9.347186088562012,9.347186088562012,14.56
2019-06-01,Llerena,,,,
2019-06-01,Los Angeles,,,,
2019-06-01,Los Huertos,,,,
2019-06-01,Madronnera,,,,
2019-06-01,Majadillas,,,,
2019-06-01,Majarrobledo,,,,
2019-06-01,Membrio,,,,
2019-06-01,Navarredonda,,,,
2019-06-01,Navas del Madronno,,,,
2019-06-01,Nogales,,,,
2019-06-01,Palomero,,,,
2019-06-01,Pretura del Molino,,,,
2019-06-01,Ribera del Castanno,,,,
2019-06-01,Rubiales,,,,
2019-06-01,San Marcos,,,,
2019-06-01,Santa Lucia,,,,
2019-06-01,Talavan,0.8047015070915222,7.028012752532959,9.50469970703125,3.0
2019-06-01,Tres Torres,,,,
2019-06-01,la Pesga,,,,
2019-11-01,Acebo,,,,
2019-11-01,Aguijon,,,,
2019-11-01,Alcuescar,,,,
2019-11-01,Aldea del Cano,,,,
2019-11-01,Aliseda,,,,
2019-11-01,Alpotrel,,,,
2019-11-01,Arrocerezal,,,,
2019-11-01,Brozas,,,,
2019-11-01,Burguillos del Cerro,,,,
2019-11-01,Cantalgallo,,,,
2019-11-01,Carrascalejo,,,,
2019-11-01,El Santo,,,,
2019-11-01,Garciaz,,,,
2019-11-01,Garganta del Obispo,,,,
2019-11-01,Guadalupe,,,,
2019-11-01,Hervas,,,,
2019-11-01,Jaime Ozores,0.0,0.0,0.0,200.0
2019-11-01,Llerena,,,,
2019-11-01,Los Angeles,,,,
2019-11-01,Los Huertos,,,,
2019-11-01,Madronnera,,,,
2019-11-01,Majadillas,,,,
2019-11-01,Majarrobledo,,,,
2019-11-01,Membrio,,,,
2019-11-01,Navarredonda,,,,
2019-11-01,Navas del Madronno,,,,
2019-11-01,Nogales,,,,
2019-11-01,Palomero,,,,
2019-11-01,Pretura del Molino,,,,
2019-11-01,Ribera del Castanno,,,,
2019-11-01,Rubiales,,,,
2019-11-01,San Marcos,,,,
2019-11-01,Santa Lucia,,,,
2019-11-01,Talavan,0.5699825286865234,76.9855728149414,58.70382308959961,10.0
2019-11-01,Tres Torres,,,,
2019-11-01,la Pesga,,,,
2020-06-01,Acebo,,,,
2020-06-01,Aguijon,,,,
2020-06-01,Alcuescar,,,,
2020-06-01,Aldea del Cano,,,,
2020-06-01,Aliseda,,,,
2020-06-01,Alpotrel,,,,
2020-06-01,Arrocerezal,,,,
2020-06-01,Brozas,,,,
2020-06-01,Burguillos del Cerro,,,,
2020-06-01,Cantalgallo,,,,
2020-06-01,Carrascalejo,,,,
2020-06-01,El Santo,,,,
2020-06-01,Garciaz,,,,
2020-06-01,Garganta del Obispo,,,,
2020-06-01,Guadalupe,,,,
2020-06-01,Hervas,,,,
2020-06-01,Jaime Ozores,,,,
2020-06-01,Llerena,,,,
2020-06-01,Los Angeles,,,,
2020-06-01,Los Huertos,,,,
2020-06-01,Madronnera,,,,
2020-06-01,Majadillas,,,,
2020-06-01,Majarrobledo,,,,
2020-06-01,Membrio,,,,
2020-06-01,Navarredonda,,,,
2020-06-01,Navas del Madronno,,,,
2020-06-01,Nogales,,,,
2020-06-01,Palomero,,,,
2020-06-01,Pretura del Molino,,,,
2020-06-01,Ribera del Castanno,,,,
2020-06-01,Rubiales,,,,
2020-06-01,San Marcos,,,,
2020-06-01,Santa Lucia,,,,
2020-06-01,Talavan,,,,
2020-06-01,Tres Torres,,,,
2020-06-01,la Pesga,,,,
