,fecha,Embalse,Buffer,Estado,Cmax,Cmean,Cmean2,Cmin,Cmin2,Medicion
0,2017-06-01,Acebo,,Mesotrophic,,,,,,3.0
1,2017-06-01,Acebo,1.0,Mesotrophic,0.0002875826903618,0.0002875826903618,,0.0002875826903618,,
2,2017-06-01,Acebo,2.0,Mesotrophic,1.5013408660888672,0.4938675165176391,0.4938675165176391,0.0002875826903618,0.0002875826903618,
3,2017-06-01,Acebo,3.0,Mesotrophic,1.5013408660888672,0.4957921802997589,0.4957921802997589,0.0002875826903618,0.0002875826903618,
4,2017-06-01,Acebo,4.0,Mesotrophic,3.8266525268554688,0.7568492889404297,0.7568492889404297,0.0,0.0,
5,2017-06-01,Acebo,5.0,Mesotrophic,3.970771551132202,0.9461774230003356,0.9461774230003356,0.0,0.0,
6,2017-06-01,Acebo,6.0,Mesotrophic,3.970771551132202,0.9412100911140442,0.9412100911140442,0.0,0.0,
7,2017-06-01,Acebo,7.0,Mesotrophic,3.970771551132202,1.0219146013259888,1.0219146013259888,0.0,0.0,
8,2017-06-01,Acebo,8.0,Mesotrophic,3.98350191116333,0.9840084314346312,0.9840084314346312,0.0,0.0,
9,2017-06-01,Acebo,9.0,Mesotrophic,4.012206077575684,1.0700169801712036,1.0700169801712036,0.0,0.0,
10,2017-06-01,Acebo,10.0,Mesotrophic,4.012206077575684,1.1225038766860962,1.1225038766860962,0.0,0.0,
11,2017-06-01,Acebo,11.0,Mesotrophic,4.012206077575684,1.0665565729141235,1.0665565729141235,0.0,0.0,
12,2017-06-01,Acebo,12.0,Mesotrophic,4.0720086097717285,1.063591241836548,1.063591241836548,0.0,0.0,
13,2017-06-01,Acebo,13.0,Mesotrophic,4.273157596588135,1.0862208604812622,1.0862208604812622,0.0,0.0,
14,2017-06-01,Acebo,14.0,Mesotrophic,4.510219097137451,1.0664557218551636,1.0664557218551636,0.0,0.0,
15,2017-06-01,Acebo,15.0,Mesotrophic,4.510219097137451,1.0516817569732666,1.0516817569732666,0.0,0.0,
16,2017-06-01,Acebo,16.0,Mesotrophic,5.142930507659912,1.0548731088638306,1.0548731088638306,0.0,0.0,
17,2017-06-01,Acebo,17.0,Mesotrophic,5.142930507659912,0.9670753479003906,0.9670753479003906,0.0,0.0,
18,2017-06-01,Acebo,18.0,Mesotrophic,5.142930507659912,0.9725456833839417,0.9725456833839417,0.0,0.0,
19,2017-06-01,Acebo,19.0,Mesotrophic,5.142930507659912,0.9380678534507751,0.9380678534507751,0.0,0.0,
20,2017-06-01,Acebo,20.0,Mesotrophic,5.142930507659912,0.9229190945625304,0.9229190945625304,0.0,0.0,
21,2017-06-01,Aguijon,,Hypertrophic,,,,,,
22,2017-06-01,Alcuescar,,Hypertrophic,,,,,,
23,2017-06-01,Aldea del Cano,,Hypertrophic,,,,,,
24,2017-06-01,Aliseda,,Eutrophic,,,,,,
25,2017-06-01,Alpotrel,,Eutrophic,,,,,,
26,2017-06-01,Arrocerezal,,Eutrophic,,,,,,
27,2017-06-01,Brozas,,Hypertrophic,,,,,,
28,2017-06-01,Burguillos del Cerro,,Hypertrophic,,,,,,
29,2017-06-01,Cantalgallo,,Eutrophic,,,,,,
30,2017-06-01,Carrascalejo,,Eutrophic,,,,,,
31,2017-06-01,El Santo,,Hypertrophic,,,,,,
32,2017-06-01,Garciaz,,Eutrophic,,,,,,
33,2017-06-01,Garganta del Obispo,,Hypertrophic,,,,,,
34,2017-06-01,Guadalupe,,Eutrophic,,,,,,
35,2017-06-01,Hervas,,Eutrophic,,,,,,
36,2017-06-01,Jaime Ozores,,Hypertrophic,,,,,,18.0
37,2017-06-01,Jaime Ozores,1.0,Hypertrophic,20.784957885742188,20.784957885742188,,20.784957885742188,,
38,2017-06-01,Jaime Ozores,2.0,Hypertrophic,20.88684844970703,17.98332405090332,19.103891372680664,14.621621131896973,15.639866828918455,
39,2017-06-01,Jaime Ozores,3.0,Hypertrophic,21.097360610961918,16.564388275146484,18.33536148071289,2.3966031074523926,14.621621131896973,
40,2017-06-01,Jaime Ozores,4.0,Hypertrophic,22.878570556640625,16.756406784057617,18.55920791625977,2.3966031074523926,13.292939186096191,
41,2017-06-01,Jaime Ozores,5.0,Hypertrophic,22.878570556640625,15.344659805297852,17.899343490600586,2.3966031074523926,13.292939186096191,
42,2017-06-01,Jaime Ozores,6.0,Hypertrophic,22.878570556640625,15.14583969116211,17.532718658447266,2.3966031074523926,10.022430419921877,
43,2017-06-01,Jaime Ozores,7.0,Hypertrophic,22.878570556640625,13.23560905456543,16.832237243652344,0.0,6.10862398147583,
44,2017-06-01,Jaime Ozores,8.0,Hypertrophic,24.721939086914062,13.295924186706545,16.555038452148438,0.0,5.877014636993408,
45,2017-06-01,Jaime Ozores,9.0,Hypertrophic,24.721939086914062,12.80409336090088,16.30866050720215,0.0,5.469130992889404,
46,2017-06-01,Jaime Ozores,10.0,Hypertrophic,25.03264808654785,11.97242832183838,15.85594367980957,0.0,4.348249435424805,
47,2017-06-01,Jaime Ozores,11.0,Hypertrophic,25.03264808654785,11.365802764892578,15.933419227600098,0.0,3.0636537075042725,
48,2017-06-01,Jaime Ozores,12.0,Hypertrophic,25.03264808654785,10.981512069702148,15.80716037750244,0.0,1.9765106439590452,
49,2017-06-01,Jaime Ozores,13.0,Hypertrophic,25.03264808654785,10.824053764343262,16.181245803833008,0.0,1.9765106439590452,
50,2017-06-01,Jaime Ozores,14.0,Hypertrophic,25.03264808654785,10.29977321624756,16.400148391723633,0.0,1.9765106439590452,
51,2017-06-01,Jaime Ozores,15.0,Hypertrophic,25.03264808654785,10.027532577514648,16.34330177307129,0.0,0.7182528376579285,
52,2017-06-01,Jaime Ozores,16.0,Hypertrophic,25.03264808654785,9.646354675292969,9.646354675292969,0.0,0.0,
53,2017-06-01,Jaime Ozores,17.0,Hypertrophic,25.03264808654785,8.953548431396484,8.953548431396484,0.0,0.0,
54,2017-06-01,Jaime Ozores,18.0,Hypertrophic,25.03264808654785,8.659149169921875,8.659149169921875,0.0,0.0,
55,2017-06-01,Jaime Ozores,19.0,Hypertrophic,25.03264808654785,8.156211853027344,8.156211853027344,0.0,0.0,
56,2017-06-01,Jaime Ozores,20.0,Hypertrophic,25.03264808654785,7.770822525024414,7.770822525024414,0.0,0.0,
57,2017-06-01,Llerena,,Hypertrophic,,,,,,
58,2017-06-01,Los Angeles,,Hypertrophic,,,,,,
59,2017-06-01,Los Huertos,,Hypertrophic,,,,,,
60,2017-06-01,Madronnera,,Eutrophic,,,,,,
61,2017-06-01,Majadillas,,Eutrophic,,,,,,
62,2017-06-01,Majarrobledo,,Mesotrophic,,,,,,
63,2017-06-01,Membrio,,Hypertrophic,,,,,,
64,2017-06-01,Navarredonda,,Hypertrophic,,,,,,
65,2017-06-01,Navas del Madronno,,Hypertrophic,,,,,,
66,2017-06-01,Nogales,,Hypertrophic,,,,,,
67,2017-06-01,Palomero,,Eutrophic,,,,,,
68,2017-06-01,Pretura del Molino,,Mesotrophic,,,,,,
69,2017-06-01,Ribera del Castanno,,Eutrophic,,,,,,
70,2017-06-01,Rubiales,,Hypertrophic,,,,,,
71,2017-06-01,San Marcos,,Eutrophic,,,,,,
72,2017-06-01,Santa Lucia,,Eutrophic,,,,,,
73,2017-06-01,Talavan,,Hypertrophic,,,,,,10.8
74,2017-06-01,Talavan,1.0,Hypertrophic,5.717299938201904,5.717299938201904,,5.717299938201904,,
75,2017-06-01,Talavan,2.0,Hypertrophic,6.708948612213135,5.756268501281738,5.756268501281738,5.27025318145752,5.27025318145752,
76,2017-06-01,Talavan,3.0,Hypertrophic,8.841683387756348,6.527888774871826,6.770983695983887,4.5831298828125,5.27025318145752,
77,2017-06-01,Talavan,4.0,Hypertrophic,14.578346252441406,7.797370433807373,8.262639045715332,4.497845649719238,5.27025318145752,
78,2017-06-01,Talavan,5.0,Hypertrophic,14.817668914794922,7.731266975402832,8.008727073669434,4.497845649719238,4.831669330596924,
79,2017-06-01,Talavan,6.0,Hypertrophic,14.817668914794922,6.107754230499268,7.329305171966553,0.0,3.686781883239746,
80,2017-06-01,Talavan,7.0,Hypertrophic,14.817668914794922,6.398678302764893,7.46512508392334,0.0,3.686781883239746,
81,2017-06-01,Talavan,8.0,Hypertrophic,14.817668914794922,5.356626510620117,7.294128894805908,0.0,3.686781883239746,
82,2017-06-01,Talavan,9.0,Hypertrophic,14.996235847473145,5.598155498504639,7.313719749450684,0.0,3.686781883239746,
83,2017-06-01,Talavan,10.0,Hypertrophic,14.996235847473145,4.804813385009766,7.065902233123779,0.0,3.459015130996704,
84,2017-06-01,Talavan,11.0,Hypertrophic,14.996235847473145,4.860259532928467,6.759671688079834,0.0,3.0310981273651123,
85,2017-06-01,Talavan,12.0,Hypertrophic,14.996235847473145,4.422891139984131,6.775491714477539,0.0,3.0310981273651123,
86,2017-06-01,Talavan,13.0,Hypertrophic,14.996235847473145,4.439781188964844,6.524547100067139,0.0,2.228632926940918,
87,2017-06-01,Talavan,14.0,Hypertrophic,14.996235847473145,4.087291717529297,6.513082027435303,0.0,2.228632926940918,
88,2017-06-01,Talavan,15.0,Hypertrophic,14.996235847473145,3.8066930770874015,6.297837734222412,0.0,2.228632926940918,
89,2017-06-01,Talavan,16.0,Hypertrophic,14.996235847473145,3.560948371887207,3.560948371887207,0.0,0.0,
90,2017-06-01,Talavan,17.0,Hypertrophic,14.996235847473145,3.4131174087524414,3.4131174087524414,0.0,0.0,
91,2017-06-01,Talavan,18.0,Hypertrophic,14.996235847473145,3.216714382171631,3.216714382171631,0.0,0.0,
92,2017-06-01,Talavan,19.0,Hypertrophic,14.996235847473145,3.094359397888184,3.094359397888184,0.0,0.0,
93,2017-06-01,Talavan,20.0,Hypertrophic,14.996235847473145,2.9634058475494385,2.9634058475494385,0.0,0.0,
94,2017-06-01,Tres Torres,,Hypertrophic,,,,,,
95,2017-06-01,la Pesga,,Eutrophic,,,,,,
96,2017-11-01,Acebo,,Mesotrophic,,,,,,
97,2017-11-01,Aguijon,,Hypertrophic,,,,,,
98,2017-11-01,Alcuescar,,Hypertrophic,,,,,,
99,2017-11-01,Aldea del Cano,,Hypertrophic,,,,,,
100,2017-11-01,Aliseda,,Eutrophic,,,,,,
101,2017-11-01,Alpotrel,,Eutrophic,,,,,,
102,2017-11-01,Arrocerezal,,Eutrophic,,,,,,
103,2017-11-01,Brozas,,Hypertrophic,,,,,,
104,2017-11-01,Burguillos del Cerro,,Hypertrophic,,,,,,
105,2017-11-01,Cantalgallo,,Eutrophic,,,,,,
106,2017-11-01,Carrascalejo,,Eutrophic,,,,,,
107,2017-11-01,El Santo,,Hypertrophic,,,,,,
108,2017-11-01,Garciaz,,Eutrophic,,,,,,
109,2017-11-01,Garganta del Obispo,,Hypertrophic,,,,,,
110,2017-11-01,Guadalupe,,Eutrophic,,,,,,
111,2017-11-01,Hervas,,Eutrophic,,,,,,
112,2017-11-01,Jaime Ozores,,Hypertrophic,,,,,,74.0
113,2017-11-01,Jaime Ozores,1.0,Hypertrophic,1.2610421180725098,1.2610421180725098,,1.2610421180725098,,
114,2017-11-01,Jaime Ozores,2.0,Hypertrophic,58.34962463378906,17.309587478637695,17.309587478637695,1.2610421180725098,1.2610421180725098,
115,2017-11-01,Jaime Ozores,3.0,Hypertrophic,66.59103393554688,15.773919105529783,15.773919105529783,0.6399883031845093,0.6399883031845093,
116,2017-11-01,Jaime Ozores,4.0,Hypertrophic,67.76564025878906,19.846885681152344,19.846885681152344,0.6399883031845093,0.6399883031845093,
