fecha,Embalse,Estado,Cmax,Cmea2,Cmean,Cmin,Cmin2,Medicion
2017-06-01,Acebo,Mesotrophic,3.970771551132202,1.0219146013259888,1.0219146013259888,0.0,0.0,3.0
2017-06-01,Aguijon,Hypertrophic,,,,,,
2017-06-01,Alcuescar,Hypertrophic,,,,,,
2017-06-01,Aldea del Cano,Hypertrophic,,,,,,
2017-06-01,Aliseda,Eutrophic,,,,,,
2017-06-01,Alpotrel,Eutrophic,,,,,,
2017-06-01,Arrocerezal,Eutrophic,,,,,,
2017-06-01,Brozas,Hypertrophic,,,,,,
2017-06-01,Burguillos del Cerro,Hypertrophic,,,,,,
2017-06-01,Cantalgallo,Eutrophic,,,,,,
2017-06-01,Carrascalejo,Eutrophic,,,,,,
2017-06-01,El Santo,Hypertrophic,,,,,,
2017-06-01,Garciaz,Eutrophic,,,,,,
2017-06-01,Garganta del Obispo,Hypertrophic,,,,,,
2017-06-01,Guadalupe,Eutrophic,,,,,,
2017-06-01,Hervas,Eutrophic,,,,,,
2017-06-01,Jaime Ozores,Hypertrophic,22.878570556640625,16.832237243652344,13.23560905456543,0.0,6.10862398147583,18.0
2017-06-01,Llerena,Hypertrophic,,,,,,
2017-06-01,Los Angeles,Hypertrophic,,,,,,
2017-06-01,Los Huertos,Hypertrophic,,,,,,
2017-06-01,Madronnera,Eutrophic,,,,,,
2017-06-01,Majadillas,Eutrophic,,,,,,
2017-06-01,Majarrobledo,Mesotrophic,,,,,,
2017-06-01,Membrio,Hypertrophic,,,,,,
2017-06-01,Navarredonda,Hypertrophic,,,,,,
2017-06-01,Navas del Madronno,Hypertrophic,,,,,,
2017-06-01,Nogales,Hypertrophic,,,,,,
2017-06-01,Palomero,Eutrophic,,,,,,
2017-06-01,Pretura del Molino,Mesotrophic,,,,,,
2017-06-01,Ribera del Castanno,Eutrophic,,,,,,
2017-06-01,Rubiales,Hypertrophic,,,,,,
2017-06-01,San Marcos,Eutrophic,,,,,,
2017-06-01,Santa Lucia,Eutrophic,,,,,,
2017-06-01,Talavan,Hypertrophic,14.817668914794922,7.46512508392334,6.398678302764893,0.0,3.686781883239746,10.8
2017-06-01,Tres Torres,Hypertrophic,,,,,,
2017-06-01,la Pesga,Eutrophic,,,,,,
2017-11-01,Acebo,Mesotrophic,,,,,,
2017-11-01,Aguijon,Hypertrophic,,,,,,
2017-11-01,Alcuescar,Hypertrophic,,,,,,
2017-11-01,Aldea del Cano,Hypertrophic,,,,,,
2017-11-01,Aliseda,Eutrophic,,,,,,
2017-11-01,Alpotrel,Eutrophic,,,,,,
2017-11-01,Arrocerezal,Eutrophic,,,,,,
2017-11-01,Brozas,Hypertrophic,,,,,,
2017-11-01,Burguillos del Cerro,Hypertrophic,,,,,,
2017-11-01,Cantalgallo,Eutrophic,,,,,,
2017-11-01,Carrascalejo,Eutrophic,,,,,,
2017-11-01,El Santo,Hypertrophic,,,,,,
2017-11-01,Garciaz,Eutrophic,,,,,,
2017-11-01,Garganta del Obispo,Hypertrophic,,,,,,
2017-11-01,Guadalupe,Eutrophic,,,,,,
2017-11-01,Hervas,Eutrophic,,,,,,
2017-11-01,Jaime Ozores,Hypertrophic,77.5376205444336,14.502389907836914,14.502389907836914,0.0,0.0,74.0
2017-11-01,Llerena,Hypertrophic,,,,,,
2017-11-01,Los Angeles,Hypertrophic,,,,,,
2017-11-01,Los Huertos,Hypertrophic,,,,,,
2017-11-01,Madronnera,Eutrophic,,,,,,
2017-11-01,Majadillas,Eutrophic,,,,,,
2017-11-01,Majarrobledo,Mesotrophic,,,,,,
2017-11-01,Membrio,Hypertrophic,,,,,,
2017-11-01,Navarredonda,Hypertrophic,,,,,,
2017-11-01,Navas del Madronno,Hypertrophic,,,,,,
2017-11-01,Nogales,Hypertrophic,,,,,,
2017-11-01,Palomero,Eutrophic,,,,,,
2017-11-01,Pretura del Molino,Mesotrophic,,,,,,
2017-11-01,Ribera del Castanno,Eutrophic,,,,,,
2017-11-01,Rubiales,Hypertrophic,,,,,,
2017-11-01,San Marcos,Eutrophic,,,,,,
2017-11-01,Santa Lucia,Eutrophic,,,,,,
2017-11-01,Talavan,Hypertrophic,11.583481788635254,5.719944000244141,3.622514009475708,0.0,1.060215711593628,9.0
2017-11-01,Tres Torres,Hypertrophic,,,,,,
2017-11-01,la Pesga,Eutrophic,,,,,,
2018-06-01,Acebo,Mesotrophic,,,,,,
2018-06-01,Aguijon,Hypertrophic,,,,,,
2018-06-01,Alcuescar,Hypertrophic,,,,,,
2018-06-01,Aldea del Cano,Hypertrophic,,,,,,
2018-06-01,Aliseda,Eutrophic,,,,,,
2018-06-01,Alpotrel,Eutrophic,,,,,,
2018-06-01,Arrocerezal,Eutrophic,,,,,,
2018-06-01,Brozas,Hypertrophic,,,,,,
2018-06-01,Burguillos del Cerro,Hypertrophic,,,,,,
2018-06-01,Cantalgallo,Eutrophic,,,,,,
