Orden;fid_ideex;nombre;longitud_x_29N;latitud_y_29N;2017_v;2017_o;2018_v;2018_o;2019_v;2019_o;2020_o;2021_v;2021_o;2022_v;2022_o;n_muestras;parametro;promedio 17-22;Estado;min;max;rango chla
1;71;Acebo;694745;4456757;3;;;;;;2,5;;7,5;;11,5;4;clorofila_a;6,13;Mesotrophic;2,5;11,5;[2,5-11,5]
2;129;Aguijon;681405;4260425;;;;;;;5,27;47,07;44,26;20,76;166,96;5;clorofila_a;56,86;Hypertrophic;5,27;166,96;[5,27-166,96]
3;31;Alcuescar;738704;4344896;;;;;;;16,3;26,89;20,94;206,8;12,35;5;clorofila_a;56,66;Hypertrophic;12,35;206,8;[12,35-206,8]
4;73;Aldea del Cano;732737;4349802;;;;;;;131,6;82,09;63,78;91,02;46,81;5;clorofila_a;83,06;Hypertrophic;46,81;131,6;[46,81-131,6]
5;51;Aliseda;699035;4365356;;;;;;;12,65;;8,64;;14,32;3;clorofila_a;11,87;Eutrophic;8,64;14,32;[8,64-14,32]
6;63;Alpotrel;654425;4359495;;;;;;;25;;10,4;;18,13;3;clorofila_a;17,84;Eutrophic;10,4;25;[10,4-25]
7;257;Arrocerezal;732293;4474675;;;;;;;0,73;;6,69;;18,95;3;clorofila_a;8,79;Eutrophic;0,73;18,95;[0,73-18,95]
8;70;Brozas;695616;4387885;;;;;;;36,57;50,1;113,38;44,79;40;5;clorofila_a;56,97;Hypertrophic;36,57;113,38;[36,57-113,38]
9;254;Burguillos del Cerro;709235;4252956;;;;;;;14,88;88,95;1,9;61,64;201,095;5;clorofila_a;73,69;Hypertrophic;1,9;201,095;[1,9-201,095]
10;22;Cantalgallo;775444;4397753;;;;;;;8,2;;4,39;;12,2;3;clorofila_a;8,26;Eutrophic;4,39;12,2;[4,39-12,2]
11;235;Carrascalejo;826849;4395512;;;;;;;7,3;;10,99;;13,24;3;clorofila_a;10,51;Eutrophic;7,3;13,24;[7,3-13,24]
12;65;El Santo;630444;4388444;;;;;;;9,77;;13,43;;62,78;3;clorofila_a;28,66;Hypertrophic;9,77;62,78;[9,77-62,78]
13;313;Garciaz;792424;4366364;;;;;;;5,53;;4,33;;16,42;3;clorofila_a;8,76;Eutrophic;4,33;16,42;[4,33-16,42]
14;226;Garganta del Obispo;767955;4443324;;;;;;;0,97;;1,9;;85,33;3;clorofila_a;29,4;Hypertrophic;0,97;85,33;[0,97-85,33]
15;179;Guadalupe;812790;4373000;;;;;;;7,29;;7,6;;17,09;3;clorofila_a;10,66;Eutrophic;7,29;17,09;[7,29-17,09]
