fecha;Embalse;Estado;C2RCC;C2X;C2XC;Medicion
01/06/2017;Acebo;Mesotrophic;4,01;29,47;90,36;3,00
01/11/2017;Acebo;Mesotrophic;;;;
01/06/2018;Acebo;Mesotrophic;;;;
01/11/2018;Acebo;Mesotrophic;;;;
01/06/2019;Acebo;Mesotrophic;;;;
01/11/2019;Acebo;Mesotrophic;;;;
01/06/2020;Acebo;Mesotrophic;;;;
01/11/2020;Acebo;Mesotrophic;;;;2,50
01/06/2021;Acebo;Mesotrophic;;;;
01/11/2021;Acebo;Mesotrophic;;;;7,50
01/06/2022;Acebo;Mesotrophic;;;;
01/11/2022;Acebo;Mesotrophic;9,34;34,61;315,44;11,50
01/06/2017;Aguijon;Hypertrophic;;;;
01/11/2017;Aguijon;Hypertrophic;;;;
01/06/2018;Aguijon;Hypertrophic;;;;
01/11/2018;Aguijon;Hypertrophic;;;;
01/06/2019;Aguijon;Hypertrophic;;;;
01/11/2019;Aguijon;Hypertrophic;;;;
01/06/2020;Aguijon;Hypertrophic;;;;
01/11/2020;Aguijon;Hypertrophic;;;;5,27
01/06/2021;Aguijon;Hypertrophic;;;;47,07
01/11/2021;Aguijon;Hypertrophic;40,21;453,13;1433,50;44,26
01/06/2022;Aguijon;Hypertrophic;7,99;130,47;634,18;20,76
01/11/2022;Aguijon;Hypertrophic;113,53;1653,40;5269,59;166,96
01/06/2017;Alcuescar;Hypertrophic;;;;
01/11/2017;Alcuescar;Hypertrophic;;;;
01/06/2018;Alcuescar;Hypertrophic;;;;
01/11/2018;Alcuescar;Hypertrophic;;;;
01/06/2019;Alcuescar;Hypertrophic;;;;
01/11/2019;Alcuescar;Hypertrophic;;;;
01/06/2020;Alcuescar;Hypertrophic;;;;
01/11/2020;Alcuescar;Hypertrophic;;;;16,30
01/06/2021;Alcuescar;Hypertrophic;17,17;251,81;527,24;26,89
01/11/2021;Alcuescar;Hypertrophic;27,44;657,33;643,91;20,94
01/06/2022;Alcuescar;Hypertrophic;;;;206,80
01/11/2022;Alcuescar;Hypertrophic;;;;12,35
01/06/2017;Aldea del Cano;Hypertrophic;;;;
01/11/2017;Aldea del Cano;Hypertrophic;;;;
01/06/2018;Aldea del Cano;Hypertrophic;;;;
01/11/2018;Aldea del Cano;Hypertrophic;;;;
01/06/2019;Aldea del Cano;Hypertrophic;;;;
01/11/2019;Aldea del Cano;Hypertrophic;;;;
01/06/2020;Aldea del Cano;Hypertrophic;;;;
01/11/2020;Aldea del Cano;Hypertrophic;;;;131,60
01/06/2021;Aldea del Cano;Hypertrophic;68,13;1161,81;1765,01;82,09
01/11/2021;Aldea del Cano;Hypertrophic;7,87;22,31;170,65;63,78
01/06/2022;Aldea del Cano;Hypertrophic;144,75;992,44;1722,99;91,02
01/11/2022;Aldea del Cano;Hypertrophic;53,98;437,60;1389,48;46,81
01/06/2017;Aliseda;Eutrophic;;;;
01/11/2017;Aliseda;Eutrophic;;;;
01/06/2018;Aliseda;Eutrophic;;;;
01/11/2018;Aliseda;Eutrophic;;;;
01/06/2019;Aliseda;Eutrophic;;;;
01/11/2019;Aliseda;Eutrophic;;;;
01/06/2020;Aliseda;Eutrophic;;;;
01/11/2020;Aliseda;Eutrophic;;;;12,65
01/06/2021;Aliseda;Eutrophic;;;;
01/11/2021;Aliseda;Eutrophic;9,94;153,52;278,76;8,64
01/06/2022;Aliseda;Eutrophic;;;;
01/11/2022;Aliseda;Eutrophic;22,14;205,38;392,27;14,32
01/06/2017;Alpotrel;Eutrophic;;;;
01/11/2017;Alpotrel;Eutrophic;;;;
01/06/2018;Alpotrel;Eutrophic;;;;
01/11/2018;Alpotrel;Eutrophic;;;;
01/06/2019;Alpotrel;Eutrophic;;;;
01/11/2019;Alpotrel;Eutrophic;;;;
01/06/2020;Alpotrel;Eutrophic;;;;
01/11/2020;Alpotrel;Eutrophic;38,13;137,30;812,03;25,00
01/06/2021;Alpotrel;Eutrophic;;;;
01/11/2021;Alpotrel;Eutrophic;7,34;53,34;215,20;10,40
01/06/2022;Alpotrel;Eutrophic;;;;
01/11/2022;Alpotrel;Eutrophic;23,61;55,38;538,77;18,13
01/06/2017;Arrocerezal;Eutrophic;;;;
01/11/2017;Arrocerezal;Eutrophic;;;;
01/06/2018;Arrocerezal;Eutrophic;;;;
01/11/2018;Arrocerezal;Eutrophic;;;;
01/06/2019;Arrocerezal;Eutrophic;;;;
01/11/2019;Arrocerezal;Eutrophic;;;;
01/06/2020;Arrocerezal;Eutrophic;;;;
01/11/2020;Arrocerezal;Eutrophic;;;;0,73
01/06/2021;Arrocerezal;Eutrophic;;;;
01/11/2021;Arrocerezal;Eutrophic;10,14;53,94;30,11;6,69
01/06/2022;Arrocerezal;Eutrophic;;;;
01/11/2022;Arrocerezal;Eutrophic;19,84;66,07;318,05;18,95
01/06/2017;Brozas;Hypertrophic;;;;
01/11/2017;Brozas;Hypertrophic;;;;
01/06/2018;Brozas;Hypertrophic;;;;
01/11/2018;Brozas;Hypertrophic;;;;
01/06/2019;Brozas;Hypertrophic;;;;
01/11/2019;Brozas;Hypertrophic;;;;
01/06/2020;Brozas;Hypertrophic;;;;
01/11/2020;Brozas;Hypertrophic;64,30;100,08;347,22;36,57
01/06/2021;Brozas;Hypertrophic;71,93;181,57;683,96;50,10
01/11/2021;Brozas;Hypertrophic;143,68;728,36;1365,57;113,38
01/06/2022;Brozas;Hypertrophic;77,44;187,29;1013,11;44,79
01/11/2022;Brozas;Hypertrophic;;;;40,00
01/06/2017;Burguillos del Cerro;Hypertrophic;;;;
01/11/2017;Burguillos del Cerro;Hypertrophic;;;;
01/06/2018;Burguillos del Cerro;Hypertrophic;;;;
01/11/2018;Burguillos del Cerro;Hypertrophic;;;;
01/06/2019;Burguillos del Cerro;Hypertrophic;;;;
01/11/2019;Burguillos del Cerro;Hypertrophic;;;;
01/06/2020;Burguillos del Cerro;Hypertrophic;;;;
01/11/2020;Burguillos del Cerro;Hypertrophic;18,96;274,42;454,03;14,88
01/06/2021;Burguillos del Cerro;Hypertrophic;111,24;936,83;1542,58;88,95
01/11/2021;Burguillos del Cerro;Hypertrophic;;;;1,90
01/06/2022;Burguillos del Cerro;Hypertrophic;65,84;426,50;977,25;61,64
01/11/2022;Burguillos del Cerro;Hypertrophic;133,53;6957,76;6272,89;201,10
01/06/2017;Cantalgallo;Eutrophic;;;;
01/11/2017;Cantalgallo;Eutrophic;;;;
01/06/2018;Cantalgallo;Eutrophic;;;;
01/11/2018;Cantalgallo;Eutrophic;;;;
01/06/2019;Cantalgallo;Eutrophic;;;;
01/11/2019;Cantalgallo;Eutrophic;;;;
01/06/2020;Cantalgallo;Eutrophic;;;;
01/11/2020;Cantalgallo;Eutrophic;12,58;24,83;165,56;8,20
01/06/2021;Cantalgallo;Eutrophic;;;;
01/11/2021;Cantalgallo;Eutrophic;;;;4,39
01/06/2022;Cantalgallo;Eutrophic;;;;
01/11/2022;Cantalgallo;Eutrophic;;;;12,20
01/06/2017;Carrascalejo;Eutrophic;;;;
01/11/2017;Carrascalejo;Eutrophic;;;;
01/06/2018;Carrascalejo;Eutrophic;;;;
01/11/2018;Carrascalejo;Eutrophic;;;;
01/06/2019;Carrascalejo;Eutrophic;;;;
01/11/2019;Carrascalejo;Eutrophic;;;;
01/06/2020;Carrascalejo;Eutrophic;;;;
01/11/2020;Carrascalejo;Eutrophic;;;;7,30
01/06/2021;Carrascalejo;Eutrophic;;;;
01/11/2021;Carrascalejo;Eutrophic;;;;10,99
01/06/2022;Carrascalejo;Eutrophic;;;;
01/11/2022;Carrascalejo;Eutrophic;;;;13,24
01/06/2017;El Santo;Hypertrophic;;;;
01/11/2017;El Santo;Hypertrophic;;;;
01/06/2018;El Santo;Hypertrophic;;;;
01/11/2018;El Santo;Hypertrophic;;;;
01/06/2019;El Santo;Hypertrophic;;;;
