,Embalse,Tipo,Año,Estación,Concentración
0,Acebo,Medicion,2017,v,3.0
1,Acebo,Medicion,2017,o,
2,Acebo,Medicion,2018,v,
3,Acebo,Medicion,2018,o,
4,Acebo,Medicion,2019,v,
5,Acebo,Medicion,2019,o,
6,Acebo,Medicion,2020,v,
7,Acebo,Medicion,2020,o,2.5
8,Acebo,Medicion,2021,v,
9,Acebo,Medicion,2021,o,7.5
10,Acebo,Medicion,2022,v,
11,Acebo,Medicion,2022,o,11.5
12,Aguijon,Medicion,2017,v,
13,Aguijon,Medicion,2017,o,
14,Aguijon,Medicion,2018,v,
15,Aguijon,Medicion,2018,o,
16,Aguijon,Medicion,2019,v,
17,Aguijon,Medicion,2019,o,
18,Aguijon,Medicion,2020,v,
19,Aguijon,Medicion,2020,o,5.27
20,Aguijon,Medicion,2021,v,47.07
21,Aguijon,Medicion,2021,o,44.26
22,Aguijon,Medicion,2022,v,20.76
23,Aguijon,Medicion,2022,o,166.96
24,Alcuescar,Medicion,2017,v,
25,Alcuescar,Medicion,2017,o,
26,Alcuescar,Medicion,2018,v,
27,Alcuescar,Medicion,2018,o,
28,Alcuescar,Medicion,2019,v,
29,Alcuescar,Medicion,2019,o,
30,Alcuescar,Medicion,2020,v,
31,Alcuescar,Medicion,2020,o,16.3
32,Alcuescar,Medicion,2021,v,26.89
33,Alcuescar,Medicion,2021,o,20.94
34,Alcuescar,Medicion,2022,v,206.8
35,Alcuescar,Medicion,2022,o,12.35
36,Aldea del Cano,Medicion,2017,v,
37,Aldea del Cano,Medicion,2017,o,
38,Aldea del Cano,Medicion,2018,v,
39,Aldea del Cano,Medicion,2018,o,
40,Aldea del Cano,Medicion,2019,v,
41,Aldea del Cano,Medicion,2019,o,
42,Aldea del Cano,Medicion,2020,v,
43,Aldea del Cano,Medicion,2020,o,131.6
44,Aldea del Cano,Medicion,2021,v,82.09
45,Aldea del Cano,Medicion,2021,o,63.78
46,Aldea del Cano,Medicion,2022,v,91.02
47,Aldea del Cano,Medicion,2022,o,46.81
48,Aliseda,Medicion,2017,v,
49,Aliseda,Medicion,2017,o,
50,Aliseda,Medicion,2018,v,
51,Aliseda,Medicion,2018,o,
52,Aliseda,Medicion,2019,v,
53,Aliseda,Medicion,2019,o,
54,Aliseda,Medicion,2020,v,
55,Aliseda,Medicion,2020,o,12.65
56,Aliseda,Medicion,2021,v,
57,Aliseda,Medicion,2021,o,8.64
58,Aliseda,Medicion,2022,v,
59,Aliseda,Medicion,2022,o,14.32
